,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
4272,3756,1.328286973,-0.579219059,0.622190545,-0.477965418,-1.062418354,-0.570816358,-0.83457999,-0.022299183,0.821265832,0.248291354,0.63104363,-4.078436048,-0.294213807,1.731927621,0.562439079,1.015576868,1.348802151,-1.494219178,0.054999048,-0.102332115,-0.230902625,-0.650906248,0.185310855,-0.057384073,0.05598644,-0.48551575,-0.017463823,0.011740384,27.91,0
4273,3756,1.380025481,-0.719073966,-0.927477152,-1.607368246,1.447384923,3.278719264,-1.155732398,0.707490333,0.358808169,0.276874629,1.009678139,-3.17288343,1.871143241,1.415029774,0.261245513,1.535061764,0.446393654,-0.863570514,0.763058045,0.244533865,-0.271422078,-0.904084272,0.071515541,0.920587491,0.352976806,-0.509558534,-0.022015688,0.017362306,53,0
4274,3756,1.245933151,-0.940653304,-1.005307236,-1.550985975,1.378929548,3.303697626,-1.063626656,0.689474698,0.350632633,0.244545955,1.010672586,-3.170024521,1.883518115,1.430743922,0.269977253,1.544216564,0.448451459,-0.849349289,0.740889169,0.385884573,-0.229364418,-0.940718041,0.010337602,0.92414909,0.327491156,-0.516961269,-0.035130496,0.029447818,122.41,0
4275,3756,-0.209594934,-0.546688076,1.352905834,-1.261824226,0.43532547,0.571315669,-1.447447414,-0.499340038,0.301036265,-0.30882758,1.945444923,-2.292511084,1.913469039,1.449266467,0.607680483,0.072264951,2.07298981,-3.492962933,-2.096919106,-0.138386885,0.748047343,-0.513379518,-1.081378378,-0.659908638,-0.115634985,-0.534156117,0.232919257,0.259635884,116.03,0
4276,3756,1.455736163,-0.593966716,-0.883533037,-1.639202581,1.486035926,3.26461608,-1.207736779,0.717662249,0.363424209,0.295127918,1.009116658,-3.174497616,1.864156188,1.406157314,0.256315432,1.529892817,0.445231785,-0.871600046,0.775574949,0.164724987,-0.295168508,-0.883400257,0.106057588,0.918576555,0.367366413,-0.505378831,-0.014610857,0.010538632,13.81,0
4277,3756,1.350757382,-0.767437703,-0.944464989,-1.595061785,1.432443287,3.284171247,-1.135628638,0.703558091,0.357023709,0.269818306,1.009895195,-3.172259421,1.873844283,1.418459674,0.263151375,1.537059966,0.446842808,-0.860466472,0.758219283,0.275386238,-0.262242226,-0.912080261,0.058162339,0.921364875,0.347414098,-0.511174316,-0.024878235,0.020000189,68.15,0
4278,3756,-1.001508629,0.517018945,0.179844789,-2.767028036,1.773240307,3.239777831,-0.735124012,1.292570941,-0.356957975,-0.515136673,0.648779619,-3.365724003,1.73207734,1.550314572,-0.350269398,1.794783751,0.399643839,-0.740747455,0.246958772,0.212396899,-0.249435723,-0.878827505,-0.13105294,0.902161192,0.466698131,-0.569462497,0.121026811,0.039263521,10.5,0
4279,3756,1.372008147,-0.732322118,-0.932130586,-1.603997169,1.443291999,3.280212711,-1.150225427,0.706413184,0.358319357,0.274941709,1.009737596,-3.172712497,1.87188313,1.415969318,0.261767581,1.535609126,0.44651669,-0.862720232,0.761732576,0.252985175,-0.268907465,-0.906274592,0.067857733,0.920800438,0.351453028,-0.510001141,-0.022799818,0.018084894,57.15,0
4280,3756,1.31532656,-0.825984959,-0.965029803,-1.580164064,1.414355525,3.290771207,-1.111291809,0.698797873,0.354863511,0.261276195,1.010157955,-3.17150402,1.87711406,1.422611777,0.265458537,1.539478912,0.447386535,-0.856708839,0.752361666,0.31273492,-0.251129454,-0.921759894,0.041997472,0.922305946,0.340680099,-0.513130319,-0.028343522,0.023193509,86.49,0
4281,3756,1.375466226,-0.726607855,-0.930123442,-1.6054512,1.445057381,3.27956855,-1.152600723,0.706877786,0.358530194,0.275775426,1.009711951,-3.172786225,1.871563997,1.415564069,0.2615424,1.535373035,0.446463621,-0.86308698,0.762304284,0.249339911,-0.269992081,-0.905329851,0.069435438,0.920708589,0.352110272,-0.509810233,-0.022461603,0.017773224,55.36,0
